gameId,season,week,gameDate,gameTimeEastern,gameTimeLocal,homeTeamId,visitorTeamId,seasonType,weekNameAbbr,siteId,homeTeamDistance,visitingTeamDistance,homeTeamFinalScore,visitingTeamFinalScore,winningTeam
27221,2004,4,2004-09-02,20:06:00,19:06:00,1200,2310,PRE,P4,4948,13,459,24,20,1200
27219,2004,4,2004-09-02,20:35:00,20:35:00,3900,750,PRE,P4,5411,2,363,13,16,750
27217,2004,4,2004-09-02,18:50:00,18:50:00,3200,2250,PRE,P4,1065,2,996,0,31,2250
27218,2004,4,2004-09-02,19:03:00,19:03:00,3410,325,PRE,P4,3757,1,173,17,27,325
27225,2004,4,2004-09-02,22:05:00,19:05:00,2520,2510,PRE,P4,3225,3,1715,28,24,2520
27226,2004,4,2004-09-02,23:00:00,20:00:00,4500,4400,PRE,P4,1007,32,450,15,31,4400
27224,2004,4,2004-09-02,21:07:00,18:07:00,4600,3000,PRE,P4,5315,9,1386,23,21,4600
27222,2004,4,2004-09-02,20:07:00,19:07:00,2120,4900,PRE,P4,3698,1,791,9,17,4900
27223,2004,4,2004-09-02,21:06:00,19:06:00,1400,3800,PRE,P4,5786,14,586,21,33,3800
27228,2004,4,2004-09-03,19:07:00,19:07:00,3430,3700,PRE,P4,3757,17,85,28,27,3430
27227,2004,4,2004-09-03,19:05:00,19:05:00,5110,200,PRE,P4,2389,34,509,27,0,5110
27216,2004,4,2004-09-03,19:30:00,19:30:00,920,2200,PRE,P4,3530,1,106,16,13,920
27231,2004,4,2004-09-03,19:37:00,18:37:00,3300,2700,PRE,P4,2870,9,658,19,20,2700
27230,2004,4,2004-09-03,20:07:00,19:07:00,2100,1800,PRE,P4,2350,3,579,27,7,2100
27229,2004,4,2004-09-03,20:06:00,20:06:00,1050,810,PRE,P4,1048,13,321,24,10,1050
26909,2004,1,2004-09-09,21:08:00,21:08:00,3200,2200,REG,Week 1,1065,2,797,27,24,3200
26914,2004,1,2004-09-11,13:07:00,13:07:00,2700,2100,REG,Week 1,2475,8,806,7,17,2100
26913,2004,1,2004-09-12,13:05:00,12:05:00,2120,4400,REG,Week 1,3698,1,1299,20,27,4400
26915,2004,1,2004-09-12,13:06:00,12:06:00,3300,4600,REG,Week 1,2870,9,2090,7,21,4600
26916,2004,1,2004-09-12,13:07:00,13:07:00,3430,920,REG,Week 1,3757,17,565,31,24,3430
26910,2004,1,2004-09-12,13:04:00,13:04:00,610,2250,REG,Week 1,3770,2,874,10,12,2250
26911,2004,1,2004-09-12,13:05:00,12:05:00,810,1540,REG,Week 1,4620,29,228,16,20,1540
26912,2004,1,2004-09-12,13:08:00,13:08:00,1050,325,REG,Week 1,1048,13,296,20,3,1050
26917,2004,1,2004-09-12,13:04:00,13:04:00,3900,2520,REG,Week 1,5411,2,2251,24,21,3900
26921,2004,1,2004-09-12,16:21:00,16:21:00,3700,3410,REG,Week 1,2769,2,86,31,17,3700
26922,2004,1,2004-09-12,16:19:00,13:19:00,4500,200,REG,Week 1,1007,32,2151,19,21,200
26923,2004,1,2004-09-12,20:39:00,18:39:00,1400,2310,REG,Week 1,5786,14,564,34,24,1400
26918,2004,1,2004-09-12,13:04:00,12:04:00,2510,3800,REG,Week 1,1006,17,1266,17,10,2510
26919,2004,1,2004-09-12,13:06:00,13:06:00,5110,4900,REG,Week 1,2389,34,822,16,10,5110
26920,2004,1,2004-09-12,16:15:00,15:15:00,3000,1200,REG,Week 1,1004,12,857,35,17,3000
26924,2004,1,2004-09-13,21:09:00,21:09:00,750,1800,REG,Week 1,1769,1,745,14,24,1800
26929,2004,2,2004-09-19,13:02:00,13:02:00,2250,1400,REG,Week 2,2049,1,1457,7,6,2250
26930,2004,2,2004-09-19,13:00:00,12:00:00,2310,750,REG,Week 2,1552,1,795,17,28,750
