teamName,winningTeam,count(winningTeam)
ARZ,3800,88
ATL,200,96
BLT,325,122
BUF,610,79
CAR,750,93
CHI,810,88
CIN,920,89
CLV,1050,66
DAL,1200,99
DEN,1400,107
DET,1540,76
GB,1800,115
HST,2120,96
IND,2200,105
JAX,2250,78
KC,2310,92
LA,2510,76
LAC,4400,97
LAR,2520,68
MIA,2700,81
MIN,3000,108
NE,3200,142
NO,3300,97
NYG,3410,84
NYJ,3430,86
PHI,3700,103
PIT,3900,121
SEA,4600,120
SF,4500,92
TB,4900,70
TEN,2100,84
WAS,5110,78
